Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(micron),Y(micron),Z(micron)
Mica,1,354,654,5496.000000,1,1,1,90.252,48.852,0.000
Mica,1,364,645,13150.000000,1,1,1,89.010,50.232,0.000
Mica,1,356,629,7702.000000,1,1,1,86.802,49.128,0.000
Mica,1,377,591,9727.000000,1,1,1,81.558,52.026,0.000
Mica,1,391,537,8059.000000,1,1,1,74.106,53.958,0.000
Mica,1,322,508,5588.000000,1,1,1,70.104,44.436,0.000
Mica,1,302,537,7885.000000,1,1,1,74.106,41.676,0.000
Mica,1,327,595,5280.000000,1,1,1,82.110,45.126,0.000
Mica,1,283,574,9693.000000,1,1,1,79.212,39.054,0.000
Mica,1,276,530,5444.000000,1,1,1,73.140,38.088,0.000
Mica,1,267,611,7405.000000,1,1,1,84.318,36.846,0.000
Mica,1,284,622,8051.000000,1,1,1,85.836,39.192,0.000
Mica,1,279,685,6503.000000,1,1,1,94.530,38.502,0.000
Mica,1,322,671,9364.000000,1,1,1,92.598,44.436,0.000
Mica,1,310,685,8556.000000,1,1,1,94.530,42.780,0.000
Mica,1,304,697,9800.000000,1,1,1,96.186,41.952,0.000
Mica,1,566,510,7122.000000,1,1,1,70.380,78.108,0.000
Mica,1,543,493,6709.000000,1,1,1,68.034,74.934,0.000
Mica,1,583,435,7147.000000,1,1,1,60.030,80.454,0.000
Mica,1,524,394,6073.000000,1,1,1,54.372,72.312,0.000
Mica,1,530,365,9344.000000,1,1,1,50.370,73.140,0.000
Mica,1,561,353,9222.000000,1,1,1,48.714,77.418,0.000
Mica,1,567,343,9563.000000,1,1,1,47.334,78.246,0.000
Mica,1,624,453,9601.000000,1,1,1,62.514,86.112,0.000
Mica,1,686,457,8519.000000,1,1,1,63.066,94.668,0.000
Mica,1,658,402,5498.000000,1,1,1,55.476,90.804,0.000
Mica,1,656,383,8788.000000,1,1,1,52.854,90.528,0.000
Mica,1,618,354,8679.000000,1,1,1,48.852,85.284,0.000
Mica,1,696,377,7488.000000,1,1,1,52.026,96.048,0.000
Mica,1,708,395,9117.000000,1,1,1,54.510,97.704,0.000
Mica,1,747,359,8641.000000,1,1,1,49.542,103.086,0.000
Mica,1,461,461,7652.000000,1,1,1,63.618,63.618,0.000
Mica,1,446,475,9811.000000,1,1,1,65.550,61.548,0.000
Mica,1,449,521,9262.000000,1,1,1,71.898,61.962,0.000
Mica,1,341,498,9733.000000,1,1,1,68.724,47.058,0.000
Mica,1,340,486,8588.000000,1,1,1,67.068,46.920,0.000
Mica,1,346,481,8012.000000,1,1,1,66.378,47.748,0.000
